main_sound,level,hanja,meaning
괴,3급Ⅱ,壞,무너질
괴,3급Ⅱ,怪,괴이할
괴,3급,塊,흙덩이
괴,3급,愧,부끄러울
괴,2급,傀,허수아비
괴,2급,槐,회화나무
괴,1급,拐,후릴
괴,1급,魁,괴수
괴,1급,乖,어그러질
괴,특급,蕢,흙덩이
괴,특급,瑰,옥돌
괵,특급,虢,나라이름
굉,1급,肱,팔뚝
굉,1급,轟,울릴
굉,1급,宏,클
굉,특급Ⅱ,紘,벼리
굉,특급,觥,뿔잔
굉,특급,鞃,고삐
교,8급,校,학교
교,8급,敎,가르칠
교,6급,交,사귈
교,5급,橋,다리
교,3급Ⅱ,巧,공교할
교,3급Ⅱ,較,견줄
교,3급,郊,들野
교,3급,矯,바로잡을
교,2급,僑,더부살이
교,2급,膠,아교
교,2급,絞,목맬
교,1급,攪,흔들
교,1급,咬,물齧
교,1급,喬,높을
교,1급,驕,교만할
교,1급,轎,가마
교,1급,蛟,교룡(蛟龍)
교,1급,皎,달밝을
교,1급,狡,교활할
교,1급,嬌,아리따울
교,특급Ⅱ,嶠,산길
교,특급Ⅱ,鮫,상어
교,특급Ⅱ,餃,교자
교,특급Ⅱ,翹,우뚝할
교,특급Ⅱ,蕎,메밀
교,특급,儌,갈
교,특급,敽,맬
교,특급,荍,당아욱
교,특급,磽,자갈땅
교,특급,茭,마른꼴
교,특급,蹻,발들
교,특급,嘐,깨물
교,특급,佼,예쁠
교,특급,鷮,꿩
교,특급,曒,밝을
교,특급,姣,아름다울
구,8급,九,아홉
구,7급,口,입
구,6급Ⅱ,球,공
구,6급,區,구분할
구,5급Ⅱ,具,갖출
구,5급Ⅱ,舊,예
구,5급,救,구원할
구,4급Ⅱ,求,구할索
구,4급Ⅱ,句,글귀
구,4급Ⅱ,究,연구할
구,4급,構,얽을
구,3급Ⅱ,久,오랠
구,3급Ⅱ,拘,잡을
구,3급Ⅱ,丘,언덕
구,3급,俱,함께
구,3급,龜,거북
구,3급,驅,몰
구,3급,苟,진실로
구,3급,懼,두려워할
구,3급,狗,개
구,2급,鷗,갈매기
구,2급,歐,구라파
구,2급,購,살
구,2급,邱,언덕
구,2급,玖,옥돌
구,1급,矩,모날
구,1급,駒,망아지
구,1급,鳩,비둘기
구,1급,舅,시아비
구,1급,枸,구기자(枸杞子)
구,1급,廏,마구
구,1급,寇,도적
구,1급,嘔,게울
구,1급,仇,원수
구,1급,垢,때
구,1급,衢,네거리
구,1급,鉤,갈고리
구,1급,臼,절구
구,1급,毆,때릴
구,1급,溝,도랑
구,1급,灸,뜸
구,1급,軀,몸
구,1급,柩,널棺
구,1급,謳,노래
구,1급,嶇,험할
구,특급Ⅱ,絿,급할
구,특급Ⅱ,廐,마구간廏
구,특급Ⅱ,勾,굽을
구,특급Ⅱ,坵,언덕丘
구,특급Ⅱ,瞿,놀랄
구,특급Ⅱ,逑,짝
구,특급Ⅱ,銶,끌
구,특급Ⅱ,耈,늙은이
구,특급Ⅱ,咎,허물
구,특급Ⅱ,柾,널柩
구,특급Ⅱ,毬,제기
구,특급,屨,신
구,특급,嫗,할미
구,특급,俅,공순할
구,특급,劬,수고할
구,특급,姤,만날
구,특급,糗,미숫가루
구,특급,雊,장끼울
구,특급,觩,뿔굽을
구,특급,艽,변방
구,특급,笱,통발
구,특급,韭,부추
구,특급,遘,만날
구,특급,媾,겹혼인
구,특급,裘,갖옷
구,특급,彀,활당길
구,특급,窶,가난할
구,특급,疚,오랜병
구,특급,璆,옥경쇠
구,특급,漚,물거품
구,특급,搆,얽을
구,특급,捄,흙파올릴
구,특급,扣,두드릴
구,특급,覯,만나볼
국,8급,國,나라
국,5급Ⅱ,局,판形局
국,3급Ⅱ,菊,국화
국,2급,鞠,성(姓)
국,특급Ⅱ,鞫,국문할
국,특급Ⅱ,麴,누룩
국,특급,匊,움큼
군,8급,軍,군사
군,6급,郡,고을
군,4급,君,임금
군,4급,群,무리
군,1급,窘,군색할
군,특급Ⅱ,裙,치마
굴,4급,屈,굽힐
굴,2급,窟,굴
굴,2급,掘,팔
굴,특급Ⅱ,堀,팔
굴,특급,詘,말막힐
궁,4급Ⅱ,宮,집
궁,4급,窮,다할
궁,3급Ⅱ,弓,활
궁,1급,躬,몸
궁,1급,穹,하늘
궁,특급Ⅱ,芎,궁궁이
권,4급Ⅱ,權,권세
권,4급,券,문서
권,4급,勸,권할
권,4급,卷,책
권,3급Ⅱ,拳,주먹
권,2급,圈,우리牢
권,1급,眷,돌볼
권,1급,捲,거둘
권,1급,倦,게으를
권,특급Ⅱ,淃,돌아흐를
권,특급,棬,나무그릇
권,특급,睠,돌아볼
권,특급,綣,정다울
권,특급,鬈,머리고울
궐,3급,厥,그其
궐,2급,闕,대궐
궐,1급,蹶,일어설
궐,특급Ⅱ,蕨,고사리
궐,특급Ⅱ,獗,날뛸
궤,3급,軌,바퀴자국
궤,1급,潰,무너질
궤,1급,詭,속일
궤,1급,几,안석
궤,1급,櫃,궤짝
궤,1급,机,책상
궤,특급Ⅱ,饋,먹일
궤,특급,垝,무너질
궤,특급,匱,갑(匣)
궤,특급,氿,구멍샘
궤,특급,簋,제기(祭器)이름
궤,특급,跪,꿇어앉을
궤,특급,餽,먹일
궤,특급,匭,상자
궤,특급,簣,삼태기
귀,5급,貴,귀할
귀,4급,歸,돌아갈
귀,3급Ⅱ,鬼,귀신
귀,특급Ⅱ,晷,해그림자
귀,특급,宄,간악할
규,5급,規,법
규,3급,糾,얽힐
규,3급,叫,부르짖을
규,2급,閨,안방
규,2급,珪,홀
규,2급,揆,헤아릴
규,2급,奎,별
규,2급,圭,서옥(瑞玉)
규,1급,逵,길거리
규,1급,葵,아욱
규,1급,窺,엿볼
규,1급,硅,규소
규,특급Ⅱ,赳,헌걸찰
규,특급Ⅱ,竅,구멍
규,특급Ⅱ,槻,물푸레나무
규,특급,闚,엿볼
규,특급,糺,살필
규,특급,戣,창
규,특급,頍,머리들
규,특급,睽,어그러질
규,특급,樛,휠
규,특급,刲,찌를
규,특급,騤,말건장할
규,특급,頄,광대뼈
균,4급,均,고를
균,3급Ⅱ,菌,버섯
균,특급Ⅱ,鈞,무거울
균,특급Ⅱ,勻,고를
균,특급Ⅱ,畇,밭일굴
균,특급Ⅱ,筠,대껍질
균,특급,麕,노루
균,특급,箘,죽순
귤,1급,橘,귤
극,4급Ⅱ,極,다할
극,4급,劇,심할
극,3급Ⅱ,克,이길
극,1급,隙,틈
극,1급,剋,이길
극,1급,戟,창
극,1급,棘,가시
극,특급,殛,귀양보낼
극,특급,亟,빠를
극,특급,郤,틈
극,특급,襋,옷깃
근,6급,根,뿌리
근,6급,近,가까울
근,4급,勤,부지런할
근,4급,筋,힘줄
근,3급,僅,겨우
근,3급,謹,삼갈
근,3급,斤,근무게단위
근,2급,瑾,아름다운옥
근,2급,槿,무궁화
근,1급,饉,주릴
근,1급,覲,뵐
근,특급Ⅱ,劤,힘셀
근,특급Ⅱ,芹,미나리
근,특급Ⅱ,菫,씀바귀
